#loc_id;name;lat;lon;plz;adresse
26625;;5.369.116;1.080.862;23911;
477;;54.635.423;8.724.075;;
13379;;54.789.255.246;902.637.110.948;25917;
13438;;545.601.031.015.988;906.629.189.992.491;25853;
13440;;545.312.121.028.596;920.695.471.762.847;25885;
13441;;545.336.026.278.284;927.625.897.525.977;25885;
13498;;547.088.051.645.502;850.931.243.002.416;25938;
13517;;545.823.747.614.052;901.391.118.764.879;25821;
13729;;545.376.441.888.977;908.203.914.905.135;25860;
13836;;548.998.206.003.509;881.094.662.249.363;25927;
14101;;547.030.181.062.223;894.391.626.119.615;25842;
14215;;545.650.983.219.065;922.293.841.838.838;25850;
14720;;545.812.097.027.101;904.379.300.773.145;25853;
14749;;545.565.195.722.906;926.667.653.024.198;25850;
14767;;546.328.515.070.567;893.233.393.473.619;25852;
14774;;547.023.309.736;845.862.859.543;25938;
14812;;548.241.884.491;88.613.271.188;25899;
14835;;548.356.161.959;88.904.983.834;25923;
14849;;548.401.580.717.571;908.700.937.628.744;25926;
14888;;546.172.170.716.186;897.173.076.868.058;25821;
14935;;546.034.115.885.696;898.341.648.280.622;25821;
15378;;547.285.687.938;870.576.178.431;25899;
15789;;5.435.561;915.708;25878;
15823;;546.050.071.281.228;903.692.722.320.558;25853;
15886;;547.314.916.852;84.253.262.883;25938;
16108;;545.100.442.584;887.977.814.079;25845;
16125;;548.887.762.811;895.747.905.374;25923;
16665;;543.932.918.586.437;924.855.873.132.292;25876;
16717;;543.750.907.340.393;90.913.538.370.846;25840;
16724;;548.628.104.654;862.504.290.342;25924;
19313;;543.186.023.078.094;877.934.989.674.094;25836;
16832;;543.284.176.784.701;878.681.403.739.442;25836;
17190;;546.811.116.925.187;914.962.962.269.784;25862;
17191;;546.786.220.371.778;910.900.153.219.701;25862;
17387;;546.331.128.925;872.548.138.499;25869;
17612;;543.010.757.049.099;875.887.860.698.703;25836;
17942;;545.917.227.820.248;918.273.277.580.739;25855;
17972;;545.312.215.281.043;902.176.119.530.741;25856;
17973;;545.436.255.946.865;897.970.174.593.919;25856;
18433;;546.420.466.057.864;905.858.270.823.957;25858;
18453;;547.573.271.288;828.744.331.058;25997;
18595;;548.312.104.194;886.064.539.706;25923;
18639;;5.456.597;8.550.049;25859;
18682;;54.525.602.622.014;906.898.014.391.009;25860;
18697;;543.879.015.358.767;921.359.412.515.704;25876;
18745;;548.631.606.298;886.437.823.773;25923;
18761;;544.852.810.364.947;905.329.324.448.649;25813;
18824;;545.382.930.036.847;914.935.964.345.168;25885;
18971;;546.533.733.820.092;913.603.886.961.938;25862;
19068;;54.956.531;8.345.022;25999;
19110;;548.285.962.451;897.507.379.805;25926;
19141;;54.335.360.127.762;88.292.713.944.434;25836;
19350;;548.621.880.893;867.932.727.337;25924;
19458;;547.936.302.392;891.007.589.101;25899;
19582;;543.876.945.920.903;906.775.169.218.127;25840;
19584;;546.202.788.854.378;913.054.101.169.111;25862;
19627;;543.334.081.547.916;890.334.529.025.548;25832;
19846;;548.408.835.926;902.341.043.353;25926;
19924;;546.395.338.201.735;860.183.322.617.717;25863;
19932;;546.675.705.675.993;891.620.368.361.471;25842;
20059;;547.718.980.373.985;897.466.555.293.232;25917;
20182;;548.324.648.731;893.914.292.609;25923;
20309;;550.186.629.678;843.158.119.972;25992;
20353;;546.213.535.328.974;917.072.854.936.124;25864;
20476;;546.841.190.793.887;902.116.857.469.083;25842;
20917;;547.153.416.493;852.213.570.531;25938;
20931;;544.606.076.571.678;909.520.678.365.771;25866;
21287;;546.504.285.943;835.379.624.422;25946;
21484;;548.663.281.105;873.749.847.567;25927;
21600;;54.692.166.586;849.089.288.767;25938;
21601;;547.881.584.621;882.960.150.992;25899;
21776;;546.795.087.518;833.279.454.763;25946;
21781;;544.017.831.281.687;890.677.802.408.279;25870;
21805;;544.921.277.290.502;886.499.707.741.731;25845;
21810;;545.861.751.549.128;912.920.191.884.042;25884;
22056;;546.664.925.729.276;881.678.357.720.376;25842;
22105;;547.101.223.336;853.081.131.037;25938;
22148;;543.725.500.570.727;894.087.140.603.055;25870;
22149;;544.429.505.269.028;916.460.491.860.453;25873;
22150;;545.380.853.498.475;911.192.767.465.655;25860;
22152;;547.309.519.498.854;844.555.700.013.347;25938;
22203;;544.633.904.982.853;923.103.451.872.412;25872;
22216;;543.843.665.024.602;876.437.266.511.906;25836;
13813;;543.882.384.446.641;873.860.065.979.947;25836,25881;
22223;;545.144.870.510.452;922.693.744.445.387;25885;
22360;;545.162.315.195;864.503.389.001;25849;
22572;;5.436.090.446.984;876.124.655.051.221;25836;
22788;;544.019.931.235.033;917.002.298.081.461;25876;
22804;;544.404.314.690.589;912.936.404.491.011;25873;
22805;;548.484.877.909;829.269.513.543;25980;
23038;;546.030.566.757.119;890.520.271.999.829;25821;
23153;;547.548.298.165.302;885.923.295.771.524;25920;
23179;;548.882.625.475;870.087.077.618;25924;
23550;;543.070.963.528.309;863.601.868.195.536;25826;
23832;;545.127.649.566.748;899.891.615.057.532;25875;
23994;;543.949.416.884.193;918.558.851.028.029;25876;
24087;;544.948.242.333.665;913.502.887.034.956;25813;
24146;;5.436.643;916.668;25878;
24298;;544.335.176.919.981;89.770.581.587.607;25813;
24327;;54.631.051.252.738;89.958.766.847.849;25821;
24341;;545.922.962.294.548;923.056.326.806.547;25884;
24419;;54.775.692.704;907.702.194.452;25917;
24451;;547.360.393.374.135;905.029.677.109.727;25917;
24494;;547.388.438.555.245;89.291.484.659.496;25920;
24693;;545.935.829.601.572;899.120.628.833.772;25821;
24729;;547.257.981.482;844.044.321.831;25938;
24735;;543.820.098.677.672;924.237.355.733.458;25876;
24737;;548.723.206.467;890.802.716.613;25923;
24738;;544.309.769.913.578;907.681.420.589.033;25813;
24791;;548.613.563.404;841.161.349.471;25980;
24836;;543.246.378.596.377;870.513.809.068.192;25881;
24896;;54.352.081.941.006;882.805.233.044.614;25882;
24994;;548.116.271.137.369;893.166.266.636.857;25917;
25015;;543.180.909.829.608;893.713.844.163.407;25832;
25134;;543.388.074.573.546;86.495.271.806.239;25881;
25185;;54.415.457.902.615;892.619.744.086.806;25889;
25284;;548.389.106.196;885.887.490.921;25923;
25311;;547.147.402.425;840.652.400.311;25938;
25417;;545.688.544.559.706;918.281.726.539.136;25884;
25465;;542.912.712.920.569;879.792.017.085.555;25836;
25470;;546.226.261.458.874;902.867.540.717.126;25821;
25920;;543.018.973.944.765;87.953.083.698.273;25836;
25948;;54.937.195;8.324.051;25996;
26032;;543.818.446.236.251;868.027.602.477.063;25881;
26037;;54.907.748;8.308.755;25980;
26042;;545.077.064.685.643;918.273.396.933.619;25885;
26058;;54.856.226.528;898.771.559.596;25926;
26251;;544.333.359.400.152;919.910.416.150.633;25887;
26294;;544.084.407.840.579;915.410.809.362.475;25876;
26302;;546.981.291.254.674;844.161.884.674.735;25938;
26303;;544.730.463.467.327;920.209.147.179.667;25872;
26304;;54.627.099.476;838.922.956.641;25946;
26339;;544.000.633.859.804;898.452.703.995.698;25889;
26340;;545.232.092.065.271;899.351.525.305.938;25856;
26453;;546.997.622.741;854.672.753.866;25938;
26512;;546.875.716.901;855.363.690.908;25938;
16812;;547.653.204.750.693;870.212.808.251.381;25899;
16181;;548.116.961.020.899;868.802.034.910.201;25924;
16218;;547.265.176.859.968;898.085.974.411.973;25917;
480;;541.766.628.571.428.000;1.084.762;;
13434;;540.102;105.717;23623;
13576;;5.413.282;1.082.612;23730;
13991;;5.392.105;1.067.955;23611;
14405;;5.418.197;1.087.873;23738;
14811;;541.043.615.627.237;104.301.577.125.311;23715;
15390;;5.422.062;110.848.100.000.001;23747;
35740;;5.424.254;1.090.765;23738;
16397;;5.413.765;1.061.616;23701;
17132;;5.428.521;1.094.075;23758;
17339;;5.433.308;1.093.062;23758;
17393;;5.415.113;1.095.649;23743;
17442;;5.436.949;1.108.533;23775;
17616;;5.423.522;1.103.525;23749;
17902;;542.418;108.298;23738;
18079;;5.437.243;1.097.918;23774;
18215;;54.300.776;11.004.684;23777;
19000;;5.421.648;109.231;23738;
19130;;5.416.598;1.072.303;23717;
19184;;5.419.326;1.105.901;23746;
20144;;5.421.955;1.088.347;23738;
20568;;541.736.371.198.059;105.589.249.466.181;23714;
20594;;5.419.505;109.143;23738;
21485;;5.432.357;1.101.893;23779;
21570;;5.410.685;1.081.353;23730;
22142;;542.916.939.035.514;108.867.433.692.694;23758;
22819;;5.394.908;1.073.622;23626;
